Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,
Timestamp,Timestamp,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Magnetometer X,Magnetometer X,Magnetometer Y,Magnetometer Y,Magnetometer Z,Magnetometer Z,
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,local,no units,local,no units,local,
4870198,0,8336,-5.11097486204782,-12816,-7.85775597792765,-5344,3.27651747394237,-22,3.29268292682927,-54,1.34146341463415,-12,0.731707317073171,-73,0.317391304347826,42,0.182608695652174,129,-0.629268292682927,
4870838,19.53125,8368,-5.13059472716125,-12816,-7.85775597792765,-5360,3.28632740649908,-18,3.47560975609756,-57,1.09756097560976,-7,0.426829268292683,-72,0.31304347826087,42,0.182608695652174,128,-0.624390243902439,
4871478,39.0625,8304,-5.0913549969344,-12768,-7.82832618025751,-5344,3.27651747394237,-22,3.35365853658537,-55,1.34146341463415,-13,0.792682926829268,-72,0.31304347826087,38,0.165217391304348,130,-0.634146341463415,
4872118,58.59375,8368,-5.13059472716125,-12800,-7.84794604537094,-5440,3.33537706928265,-20,3.23170731707317,-53,1.21951219512195,-9,0.548780487804878,-73,0.317391304347826,41,0.178260869565217,127,-0.619512195121951,
4872758,78.125,8368,-5.13059472716125,-12800,-7.84794604537094,-5456,3.34518700183936,-18,3.23170731707317,-53,1.09756097560976,-10,0.609756097560976,-71,0.308695652173913,40,0.173913043478261,130,-0.634146341463415,
4873398,97.65625,8384,-5.14040465971796,-12800,-7.84794604537094,-5376,3.29613733905579,-21,3.47560975609756,-57,1.28048780487805,-6,0.365853658536585,-72,0.31304347826087,39,0.169565217391304,130,-0.634146341463415,
4874038,117.1875,8416,-5.16002452483139,-12784,-7.83813611281422,-5328,3.26670754138565,-22,3.41463414634146,-56,1.34146341463415,-3,0.182926829268293,-73,0.317391304347826,40,0.173913043478261,129,-0.629268292682927,
