Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,
Timestamp,Timestamp,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Magnetometer X,Magnetometer X,Magnetometer Y,Magnetometer Y,Magnetometer Z,Magnetometer Z,
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,local,no units,local,no units,local,
14028214,0,4416,-2.70754138565297,-15344,-9.40772532188841,-3376,2.06989576946658,-6,3.29268292682927,-54,0.365853658536585,-1,0.0609756097560976,-68,0.295652173913043,38,0.165217391304348,131,-0.639024390243902,
14028854,19.53125,4384,-2.68792152053955,-15264,-9.35867565910484,-3328,2.04046597179644,-7,3.47560975609756,-57,0.426829268292683,0,0,-65,0.282608695652174,39,0.169565217391304,131,-0.639024390243902,
14029494,39.0625,4448,-2.7271612507664,-15200,-9.31943592887799,-3296,2.02084610668302,-1,3.41463414634146,-56,0.0609756097560976,4,-0.24390243902439,-63,0.273913043478261,34,0.147826086956522,131,-0.639024390243902,
14030134,58.59375,4448,-2.7271612507664,-15168,-9.29981606376456,-3296,2.02084610668302,-4,3.71951219512195,-61,0.24390243902439,16,-0.975609756097561,-63,0.273913043478261,35,0.152173913043478,130,-0.634146341463415,
14030774,78.125,4480,-2.74678111587983,-15120,-9.27038626609442,-3280,2.0110361741263,-7,3.90243902439024,-64,0.426829268292683,20,-1.21951219512195,-65,0.282608695652174,41,0.178260869565217,130,-0.634146341463415,
14031414,97.65625,4544,-2.78602084610668,-15120,-9.27038626609442,-3264,2.00122624156959,-8,3.59756097560976,-59,0.487804878048781,27,-1.64634146341463,-66,0.28695652173913,38,0.165217391304348,131,-0.639024390243902,
14032054,117.1875,4608,-2.82526057633354,-15152,-9.29000613120785,-3264,2.00122624156959,-10,3.59756097560976,-59,0.609756097560976,28,-1.70731707317073,-63,0.273913043478261,35,0.152173913043478,131,-0.639024390243902,
