Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,
Timestamp,Timestamp,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Magnetometer X,Magnetometer X,Magnetometer Y,Magnetometer Y,Magnetometer Z,Magnetometer Z,
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,local,no units,local,no units,local,
12012854,0,4176,-2.56039239730227,-15296,-9.37829552421827,-3632,2.226854690374,14,3.17073170731707,-52,-0.853658536585366,1,-0.0609756097560976,-58,0.252173913043478,38,0.165217391304348,129,-0.629268292682927,
12013494,19.53125,4208,-2.5800122624157,-15392,-9.43715511955855,-3616,2.21704475781729,13,2.98780487804878,-49,-0.792682926829268,-4,0.24390243902439,-56,0.243478260869565,35,0.152173913043478,127,-0.619512195121951,
12014134,39.0625,4320,-2.64868179031269,-15360,-9.41753525444513,-3616,2.21704475781729,4,2.68292682926829,-44,-0.24390243902439,-8,0.487804878048781,-57,0.247826086956522,34,0.147826086956522,128,-0.624390243902439,
12014774,58.59375,4256,-2.60944206008584,-15280,-9.36848559166156,-3552,2.17780502759044,14,2.5609756097561,-42,-0.853658536585366,-14,0.853658536585366,-57,0.247826086956522,36,0.156521739130435,127,-0.619512195121951,
12015414,78.125,4144,-2.54077253218884,-15152,-9.29000613120785,-3552,2.17780502759044,25,2.4390243902439,-40,-1.52439024390244,-16,0.975609756097561,-58,0.252173913043478,38,0.165217391304348,128,-0.624390243902439,
12016054,97.65625,4208,-2.5800122624157,-15264,-9.35867565910484,-3472,2.12875536480687,27,2.07317073170732,-34,-1.64634146341463,-22,1.34146341463415,-56,0.243478260869565,35,0.152173913043478,128,-0.624390243902439,
12016694,117.1875,4176,-2.56039239730227,-15264,-9.35867565910484,-3488,2.13856529736358,21,1.95121951219512,-32,-1.28048780487805,-18,1.09756097560976,-56,0.243478260869565,37,0.160869565217391,128,-0.624390243902439,
