Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,
Timestamp,Timestamp,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Magnetometer X,Magnetometer X,Magnetometer Y,Magnetometer Y,Magnetometer Z,Magnetometer Z,
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,local,no units,local,no units,local,
2186678,0,4576,-2.80564071122011,-15232,-9.33905579399141,-2832,1.73635806253832,-13,2.07317073170732,-34,0.792682926829268,7,-0.426829268292683,-69,0.3,39,0.169565217391304,129,-0.629268292682927,
2187318,19.53125,4608,-2.82526057633354,-15280,-9.36848559166156,-2784,1.70692826486818,-23,2.07317073170732,-34,1.40243902439024,5,-0.304878048780488,-70,0.304347826086957,40,0.173913043478261,130,-0.634146341463415,
2187958,39.0625,4656,-2.85469037400368,-15312,-9.38810545677498,-2800,1.71673819742489,-31,2.31707317073171,-38,1.89024390243902,6,-0.365853658536585,-68,0.295652173913043,37,0.160869565217391,130,-0.634146341463415,
2188598,58.59375,4704,-2.88412017167382,-15344,-9.40772532188841,-2848,1.74616799509503,-29,2.5609756097561,-42,1.76829268292683,7,-0.426829268292683,-69,0.3,41,0.178260869565217,129,-0.629268292682927,
2189238,78.125,4736,-2.90374003678725,-15344,-9.40772532188841,-2816,1.72654812998161,-16,2.5,-41,0.975609756097561,4,-0.24390243902439,-68,0.295652173913043,40,0.173913043478261,127,-0.619512195121951,
2189878,97.65625,4816,-2.95278969957082,-15312,-9.38810545677498,-2688,1.6480686695279,-6,2.68292682926829,-44,0.365853658536585,4,-0.24390243902439,-70,0.304347826086957,37,0.160869565217391,130,-0.634146341463415,
2190518,117.1875,4752,-2.91354996934396,-15312,-9.38810545677498,-2656,1.62844880441447,12,2.5,-41,-0.731707317073171,0,0,-69,0.3,37,0.160869565217391,130,-0.634146341463415,
