Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,
Timestamp,Timestamp,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Magnetometer X,Magnetometer X,Magnetometer Y,Magnetometer Y,Magnetometer Z,Magnetometer Z,
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,local,no units,local,no units,local,
8598198,0,4688,-2.87431023911711,-15472,-9.48620478234212,-1792,1.09871244635193,-14,2.5609756097561,-42,0.853658536585366,-7,0.426829268292683,-74,0.321739130434783,38,0.165217391304348,130,-0.634146341463415,
8598838,19.53125,4608,-2.82526057633354,-15408,-9.44696505211527,-1904,1.16738197424893,-8,2.92682926829268,-48,0.487804878048781,-6,0.365853658536585,-77,0.334782608695652,42,0.182608695652174,129,-0.629268292682927,
8599478,39.0625,4592,-2.81545064377682,-15424,-9.45677498467198,-1920,1.17719190680564,-18,3.04878048780488,-50,1.09756097560976,-7,0.426829268292683,-77,0.334782608695652,43,0.18695652173913,129,-0.629268292682927,
8600118,58.59375,4640,-2.84488044144697,-15408,-9.44696505211527,-1888,1.15757204169221,-26,2.86585365853659,-47,1.58536585365854,-8,0.487804878048781,-73,0.317391304347826,37,0.160869565217391,130,-0.634146341463415,
8600758,78.125,4704,-2.88412017167382,-15440,-9.46658491722869,-1920,1.17719190680564,-23,3.53658536585366,-58,1.40243902439024,-10,0.609756097560976,-75,0.326086956521739,41,0.178260869565217,129,-0.629268292682927,
8601398,97.65625,4624,-2.83507050889025,-15440,-9.46658491722869,-1952,1.19681177191907,-18,3.71951219512195,-61,1.09756097560976,-12,0.731707317073171,-76,0.330434782608696,41,0.178260869565217,129,-0.629268292682927,
8602038,117.1875,4736,-2.90374003678725,-15456,-9.47639484978541,-1840,1.12814224402207,-19,4.14634146341463,-68,1.15853658536585,-15,0.914634146341463,-77,0.334782608695652,40,0.173913043478261,130,-0.634146341463415,
