Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,
Timestamp,Timestamp,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Magnetometer X,Magnetometer X,Magnetometer Y,Magnetometer Y,Magnetometer Z,Magnetometer Z,
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,local,no units,local,no units,local,
4162998,0,4528,-2.77621091354997,-15376,-9.42734518700184,-1952,1.19681177191907,40,-0.792682926829268,13,-2.4390243902439,35,-2.13414634146341,-77,0.334782608695652,36,0.156521739130435,132,-0.64390243902439,
4163638,19.53125,4464,-2.73697118332311,-15424,-9.45677498467198,-2000,1.22624156958921,44,-0.853658536585366,14,-2.68292682926829,41,-2.5,-76,0.330434782608696,38,0.165217391304348,129,-0.629268292682927,
4164278,39.0625,4464,-2.73697118332311,-15504,-9.50582464745555,-1984,1.2164316370325,37,-0.670731707317073,11,-2.25609756097561,39,-2.37804878048781,-75,0.326086956521739,40,0.173913043478261,129,-0.629268292682927,
4164918,58.59375,4592,-2.81545064377682,-15488,-9.49601471489883,-2000,1.22624156958921,43,-0.792682926829268,13,-2.6219512195122,26,-1.58536585365854,-74,0.321739130434783,36,0.156521739130435,131,-0.639024390243902,
4165558,78.125,4624,-2.83507050889025,-15552,-9.53525444512569,-2064,1.26548129981606,52,-0.487804878048781,8,-3.17073170731707,15,-0.914634146341463,-74,0.321739130434783,39,0.169565217391304,131,-0.639024390243902,
4166198,97.65625,4720,-2.89393010423053,-15504,-9.50582464745555,-2064,1.26548129981606,60,-0.853658536585366,14,-3.65853658536585,11,-0.670731707317073,-74,0.321739130434783,39,0.169565217391304,129,-0.629268292682927,
4166838,117.1875,4720,-2.89393010423053,-15392,-9.43715511955855,-2048,1.25567136725935,78,-0.426829268292683,7,-4.75609756097561,8,-0.487804878048781,-74,0.321739130434783,39,0.169565217391304,129,-0.629268292682927,
