Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,
Timestamp,Timestamp,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Magnetometer X,Magnetometer X,Magnetometer Y,Magnetometer Y,Magnetometer Z,Magnetometer Z,
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,local,no units,local,no units,local,
15022454,0,6416,-3.93378295524218,-14096,-8.64255058246474,-5296,3.24708767627223,6,3.04878048780488,-50,-0.365853658536585,-1,0.0609756097560976,-62,0.269565217391304,46,0.2,123,-0.6,
15023094,19.53125,6384,-3.91416309012876,-14016,-8.59350091968118,-5344,3.27651747394237,14,3.10975609756098,-51,-0.853658536585366,-1,0.0609756097560976,-62,0.269565217391304,41,0.178260869565217,121,-0.590243902439024,
15023734,39.0625,6368,-3.90435315757204,-13984,-8.57388105456775,-5248,3.21765787860208,7,3.47560975609756,-57,-0.426829268292683,-7,0.426829268292683,-64,0.278260869565217,44,0.191304347826087,123,-0.6,
15024374,58.59375,6368,-3.90435315757204,-14016,-8.59350091968118,-5248,3.21765787860208,-3,3.78048780487805,-62,0.182926829268293,-11,0.670731707317073,-63,0.273913043478261,44,0.191304347826087,122,-0.595121951219512,
15025014,78.125,6352,-3.89454322501533,-14000,-8.58369098712446,-5280,3.23727774371551,-13,4.32926829268293,-71,0.792682926829268,-14,0.853658536585366,-62,0.269565217391304,41,0.178260869565217,123,-0.6,
15025654,97.65625,6368,-3.90435315757204,-13984,-8.57388105456775,-5264,3.2274678111588,-14,4.45121951219512,-73,0.853658536585366,-15,0.914634146341463,-64,0.278260869565217,47,0.204347826086957,122,-0.595121951219512,
15026294,117.1875,6416,-3.93378295524218,-14000,-8.58369098712446,-5264,3.2274678111588,-10,4.81707317073171,-79,0.609756097560976,-20,1.21951219512195,-62,0.269565217391304,44,0.191304347826087,121,-0.590243902439024,
