Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,
Timestamp,Timestamp,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Magnetometer X,Magnetometer X,Magnetometer Y,Magnetometer Y,Magnetometer Z,Magnetometer Z,
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,local,no units,local,no units,local,
7652854,0,4944,-3.03126916002452,-15392,-9.43715511955855,-1552,0.951563458001226,-36,3.41463414634146,-56,2.19512195121951,-2,0.121951219512195,-73,0.317391304347826,44,0.191304347826087,124,-0.604878048780488,
7653494,19.53125,5072,-3.10974862047823,-15392,-9.43715511955855,-1504,0.922133660331085,-23,3.53658536585366,-58,1.40243902439024,2,-0.121951219512195,-74,0.321739130434783,42,0.182608695652174,126,-0.614634146341463,
7654134,39.0625,5168,-3.16860821581852,-15328,-9.3979153893317,-1568,0.96137339055794,-13,2.98780487804878,-49,0.792682926829268,4,-0.24390243902439,-73,0.317391304347826,43,0.18695652173913,124,-0.604878048780488,
7654774,58.59375,5088,-3.11955855303495,-15424,-9.45677498467198,-1568,0.96137339055794,-18,3.59756097560976,-59,1.09756097560976,-16,0.975609756097561,-71,0.308695652173913,42,0.182608695652174,124,-0.604878048780488,
7655414,78.125,5056,-3.09993868792152,-15200,-9.31943592887799,-1632,1.00061312078479,8,2.5,-41,-0.487804878048781,-12,0.731707317073171,-72,0.31304347826087,42,0.182608695652174,124,-0.604878048780488,
7656054,97.65625,5056,-3.09993868792152,-15200,-9.31943592887799,-1616,0.990803188228081,18,2.80487804878049,-46,-1.09756097560976,-8,0.487804878048781,-71,0.308695652173913,41,0.178260869565217,124,-0.604878048780488,
7656694,117.1875,5056,-3.09993868792152,-15280,-9.36848559166156,-1584,0.971183323114654,8,2.37804878048781,-39,-0.487804878048781,-10,0.609756097560976,-73,0.317391304347826,44,0.191304347826087,125,-0.609756097560976,
