Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,
Timestamp,Timestamp,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Magnetometer X,Magnetometer X,Magnetometer Y,Magnetometer Y,Magnetometer Z,Magnetometer Z,
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,local,no units,local,no units,local,
5285494,0,5072,-3.10974862047823,-15216,-9.3292458614347,-2352,1.44206008583691,77,3.84146341463415,-63,-4.69512195121951,-13,0.792682926829268,-78,0.339130434782609,34,0.147826086956522,134,-0.653658536585366,
5286134,19.53125,4976,-3.05088902513795,-15136,-9.28019619865113,-2304,1.41263028816677,23,4.14634146341463,-68,-1.40243902439024,-11,0.670731707317073,-78,0.339130434782609,34,0.147826086956522,135,-0.658536585365854,
5286774,39.0625,4912,-3.0116492949111,-15152,-9.29000613120785,-2336,1.4322501532802,-19,4.14634146341463,-68,1.15853658536585,-18,1.09756097560976,-79,0.343478260869565,38,0.165217391304348,134,-0.653658536585366,
5287414,58.59375,4848,-2.97240956468424,-15168,-9.29981606376456,-2384,1.46167995095034,-24,3.90243902439024,-64,1.46341463414634,-12,0.731707317073171,-80,0.347826086956522,38,0.165217391304348,133,-0.648780487804878,
5288054,78.125,4944,-3.03126916002452,-15216,-9.3292458614347,-2368,1.45187001839362,-14,3.59756097560976,-59,0.853658536585366,-2,0.121951219512195,-77,0.334782608695652,34,0.147826086956522,135,-0.658536585365854,
5288694,97.65625,4752,-2.91354996934396,-15280,-9.36848559166156,-2496,1.53034947884733,-33,3.53658536585366,-58,2.01219512195122,5,-0.304878048780488,-80,0.347826086956522,35,0.152173913043478,135,-0.658536585365854,
5289334,117.1875,4896,-3.00183936235438,-15296,-9.37829552421827,-2448,1.50091968117719,-68,3.17073170731707,-52,4.14634146341463,-1,0.0609756097560976,-78,0.339130434782609,37,0.160869565217391,132,-0.64390243902439,
