Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,
Timestamp,Timestamp,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Magnetometer X,Magnetometer X,Magnetometer Y,Magnetometer Y,Magnetometer Z,Magnetometer Z,
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,local,no units,local,no units,local,
13490934,0,5696,-3.49233599019007,-14992,-9.19190680564071,-2224,1.3635806253832,-28,2.5609756097561,-42,1.70731707317073,-24,1.46341463414634,-102,0.443478260869565,32,0.139130434782609,137,-0.668292682926829,
13491574,19.53125,5744,-3.52176578786021,-15008,-9.20171673819742,-2192,1.34396076026977,-13,2.4390243902439,-40,0.792682926829268,-21,1.28048780487805,-99,0.430434782608696,30,0.130434782608696,139,-0.678048780487805,
13492214,39.0625,5760,-3.53157572041692,-15056,-9.23114653586757,-2192,1.34396076026977,1,1.89024390243902,-31,-0.0609756097560976,-13,0.792682926829268,-97,0.421739130434783,29,0.126086956521739,138,-0.673170731707317,
13492854,58.59375,5840,-3.58062538320049,-15072,-9.24095646842428,-2208,1.35377069282649,19,1.58536585365854,-26,-1.15853658536585,-10,0.609756097560976,-98,0.426086956521739,28,0.121739130434783,138,-0.673170731707317,
13493494,78.125,5936,-3.63948497854077,-14976,-9.182096873084,-2224,1.3635806253832,53,1.46341463414634,-24,-3.23170731707317,-7,0.426829268292683,-98,0.426086956521739,33,0.143478260869565,139,-0.678048780487805,
13494134,97.65625,6032,-3.69834457388105,-14656,-8.98589822194972,-2336,1.4322501532802,110,0.487804878048781,-8,-6.70731707317073,1,-0.0609756097560976,-99,0.430434782608696,33,0.143478260869565,137,-0.668292682926829,
13494774,117.1875,6208,-3.8062538320049,-14352,-8.79950950337216,-2304,1.41263028816677,162,-0.914634146341463,15,-9.87804878048781,23,-1.40243902439024,-98,0.426086956521739,29,0.126086956521739,139,-0.678048780487805,
