Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,
Timestamp,Timestamp,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Magnetometer X,Magnetometer X,Magnetometer Y,Magnetometer Y,Magnetometer Z,Magnetometer Z,
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,local,no units,local,no units,local,
9730294,0,11856,-7.26916002452483,-10416,-6.3862660944206,-3072,1.88350705088903,-20,3.29268292682927,-54,1.21951219512195,-12,0.731707317073171,-105,0.456521739130435,40,0.173913043478261,124,-0.604878048780488,
9730934,19.53125,12032,-7.37706928264868,-10528,-6.4549356223176,-2976,1.82464745554874,-34,3.23170731707317,-53,2.07317073170732,-9,0.548780487804878,-106,0.460869565217391,45,0.195652173913043,124,-0.604878048780488,
9731574,39.0625,12112,-7.42611894543225,-10576,-6.48436541998774,-2928,1.7952176578786,-23,3.17073170731707,-52,1.40243902439024,-6,0.365853658536585,-107,0.465217391304348,45,0.195652173913043,125,-0.609756097560976,
9732214,58.59375,12048,-7.3868792152054,-10480,-6.42550582464746,-3008,1.84426732066217,6,3.23170731707317,-53,-0.365853658536585,-8,0.487804878048781,-107,0.465217391304348,46,0.2,124,-0.604878048780488,
9732854,78.125,11840,-7.25935009196812,-10416,-6.3862660944206,-3136,1.92274678111588,16,3.23170731707317,-53,-0.975609756097561,-9,0.548780487804878,-106,0.460869565217391,40,0.173913043478261,125,-0.609756097560976,
9733494,97.65625,11904,-7.29858982219497,-10416,-6.3862660944206,-3072,1.88350705088903,-2,3.35365853658537,-55,0.121951219512195,-15,0.914634146341463,-106,0.460869565217391,41,0.178260869565217,126,-0.614634146341463,
9734134,117.1875,11968,-7.33782955242183,-10480,-6.42550582464746,-2976,1.82464745554874,-21,3.29268292682927,-54,1.28048780487805,-16,0.975609756097561,-107,0.465217391304348,42,0.182608695652174,125,-0.609756097560976,
