Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,
Timestamp,Timestamp,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Magnetometer X,Magnetometer X,Magnetometer Y,Magnetometer Y,Magnetometer Z,Magnetometer Z,
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,local,no units,local,no units,local,
11609974,0,5232,-3.20784794604537,-15248,-9.34886572654813,-2048,1.25567136725935,-15,2.74390243902439,-45,0.914634146341463,24,-1.46341463414634,-84,0.365217391304348,36,0.156521739130435,134,-0.653658536585366,
11610614,19.53125,5280,-3.23727774371551,-15312,-9.38810545677498,-2048,1.25567136725935,-9,2.5609756097561,-42,0.548780487804878,16,-0.975609756097561,-81,0.352173913043478,38,0.165217391304348,133,-0.648780487804878,
11611254,39.0625,5344,-3.27651747394237,-15296,-9.37829552421827,-1984,1.2164316370325,3,2.68292682926829,-44,-0.182926829268293,10,-0.609756097560976,-81,0.352173913043478,37,0.160869565217391,132,-0.64390243902439,
11611894,58.59375,5408,-3.31575720416922,-15264,-9.35867565910484,-2080,1.27529123237278,5,2.6219512195122,-43,-0.304878048780488,7,-0.426829268292683,-84,0.365217391304348,37,0.160869565217391,132,-0.64390243902439,
11612534,78.125,5264,-3.2274678111588,-15216,-9.3292458614347,-1984,1.2164316370325,0,2.74390243902439,-45,0,10,-0.609756097560976,-82,0.356521739130435,36,0.156521739130435,134,-0.653658536585366,
11613174,97.65625,5328,-3.26670754138565,-15232,-9.33905579399141,-2048,1.25567136725935,-9,2.74390243902439,-45,0.548780487804878,13,-0.792682926829268,-81,0.352173913043478,35,0.152173913043478,133,-0.648780487804878,
11613814,117.1875,5248,-3.21765787860208,-15104,-9.26057633353771,-2032,1.24586143470264,-15,2.68292682926829,-44,0.914634146341463,13,-0.792682926829268,-81,0.352173913043478,37,0.160869565217391,133,-0.648780487804878,
