Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,
Timestamp,Timestamp,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Magnetometer X,Magnetometer X,Magnetometer Y,Magnetometer Y,Magnetometer Z,Magnetometer Z,
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,local,no units,local,no units,local,
3641988,0,1696,-1.03985285101165,-15120,-9.27038626609442,-5616,3.4432863274065,52,2.13414634146341,-35,-3.17073170731707,-24,1.46341463414634,-63,0.273913043478261,34,0.147826086956522,92,-0.448780487804878,
3642628,19.53125,1728,-1.05947271612508,-15216,-9.3292458614347,-5584,3.42366646229307,19,2.92682926829268,-48,-1.15853658536585,-12,0.731707317073171,-65,0.282608695652174,36,0.156521739130435,91,-0.44390243902439,
3643268,39.0625,1616,-0.990803188228081,-15200,-9.31943592887799,-5616,3.4432863274065,-10,3.96341463414634,-65,0.609756097560976,-12,0.731707317073171,-66,0.28695652173913,35,0.152173913043478,89,-0.434146341463415,
3643908,58.59375,1744,-1.06928264868179,-15200,-9.31943592887799,-5584,3.42366646229307,-28,4.75609756097561,-78,1.70731707317073,-6,0.365853658536585,-64,0.278260869565217,34,0.147826086956522,92,-0.448780487804878,
3644548,78.125,1712,-1.04966278356836,-15056,-9.23114653586757,-5600,3.43347639484979,-38,5.18292682926829,-85,2.31707317073171,-3,0.182926829268293,-62,0.269565217391304,34,0.147826086956522,92,-0.448780487804878,
3645188,97.65625,1744,-1.06928264868179,-14944,-9.16247700797057,-5424,3.32556713672594,-36,5.30487804878049,-87,2.19512195121951,4,-0.24390243902439,-62,0.269565217391304,37,0.160869565217391,90,-0.439024390243902,
3645828,117.1875,1824,-1.11833231146536,-14960,-9.17228694052728,-5392,3.30594727161251,-32,5.0609756097561,-83,1.95121951219512,24,-1.46341463414634,-63,0.273913043478261,37,0.160869565217391,92,-0.448780487804878,
