Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,
Timestamp,Timestamp,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Magnetometer X,Magnetometer X,Magnetometer Y,Magnetometer Y,Magnetometer Z,Magnetometer Z,
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,local,no units,local,no units,local,
11002154,0,2752,-1.68730839975475,-15424,-9.45677498467198,-4208,2.5800122624157,-3,2.19512195121951,-36,0.182926829268293,-2,0.121951219512195,-72,0.31304347826087,41,0.178260869565217,92,-0.448780487804878,
11002794,19.53125,2688,-1.6480686695279,-15440,-9.46658491722869,-4320,2.64868179031269,-7,2.25609756097561,-37,0.426829268292683,3,-0.182926829268293,-72,0.31304347826087,40,0.173913043478261,93,-0.453658536585366,
11003434,39.0625,2720,-1.66768853464132,-15472,-9.48620478234212,-4288,2.62906192519926,-11,2.19512195121951,-36,0.670731707317073,0,0,-76,0.330434782608696,44,0.191304347826087,93,-0.453658536585366,
11004074,58.59375,2736,-1.67749846719804,-15488,-9.49601471489883,-4272,2.61925199264255,-12,2.19512195121951,-36,0.731707317073171,-5,0.304878048780488,-74,0.321739130434783,44,0.191304347826087,94,-0.458536585365854,
11004714,78.125,2704,-1.65787860208461,-15488,-9.49601471489883,-4256,2.60944206008584,-8,2.4390243902439,-40,0.487804878048781,-6,0.365853658536585,-73,0.317391304347826,41,0.178260869565217,93,-0.453658536585366,
11005354,97.65625,2720,-1.66768853464132,-15472,-9.48620478234212,-4288,2.62906192519926,-4,2.4390243902439,-40,0.24390243902439,-6,0.365853658536585,-74,0.321739130434783,48,0.208695652173913,91,-0.44390243902439,
11005994,117.1875,2656,-1.62844880441447,-15456,-9.47639484978541,-4256,2.60944206008584,-4,2.5,-41,0.24390243902439,-5,0.304878048780488,-74,0.321739130434783,43,0.18695652173913,92,-0.448780487804878,
