Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,
Timestamp,Timestamp,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Magnetometer X,Magnetometer X,Magnetometer Y,Magnetometer Y,Magnetometer Z,Magnetometer Z,
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,local,no units,local,no units,local,
422788,0,1680,-1.03004291845494,-15792,-9.6824034334764,-3744,2.295524218271,9,3.47560975609756,-57,-0.548780487804878,1,-0.0609756097560976,-72,0.31304347826087,41,0.178260869565217,103,-0.502439024390244,
423428,19.53125,1664,-1.02023298589822,-15728,-9.64316370324954,-3744,2.295524218271,14,3.35365853658537,-55,-0.853658536585366,-3,0.182926829268293,-72,0.31304347826087,41,0.178260869565217,104,-0.507317073170732,
424068,39.0625,1648,-1.01042305334151,-15760,-9.66278356836297,-3712,2.27590435315757,10,2.92682926829268,-48,-0.609756097560976,-6,0.365853658536585,-72,0.31304347826087,44,0.191304347826087,102,-0.497560975609756,
424708,58.59375,1632,-1.00061312078479,-15696,-9.62354383813611,-3664,2.24647455548743,2,2.98780487804878,-49,-0.121951219512195,-6,0.365853658536585,-73,0.317391304347826,45,0.195652173913043,102,-0.497560975609756,
425348,78.125,1632,-1.00061312078479,-15680,-9.6137339055794,-3648,2.23666462293072,1,2.92682926829268,-48,-0.0609756097560976,-8,0.487804878048781,-74,0.321739130434783,42,0.182608695652174,104,-0.507317073170732,
425988,97.65625,1696,-1.03985285101165,-15632,-9.58430410790926,-3616,2.21704475781729,2,2.86585365853659,-47,-0.121951219512195,-3,0.182926829268293,-74,0.321739130434783,43,0.18695652173913,103,-0.502439024390244,
426628,117.1875,1648,-1.01042305334151,-15712,-9.63335377069283,-3648,2.23666462293072,1,2.5,-41,-0.0609756097560976,-2,0.121951219512195,-72,0.31304347826087,43,0.18695652173913,102,-0.497560975609756,
