Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,
Timestamp,Timestamp,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Magnetometer X,Magnetometer X,Magnetometer Y,Magnetometer Y,Magnetometer Z,Magnetometer Z,
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,local,no units,local,no units,local,
1951108,0,2736,-1.67749846719804,-15504,-9.50582464745555,-3936,2.41324340895156,0,3.10975609756098,-51,0,-2,0.121951219512195,-76,0.330434782608696,43,0.18695652173913,85,-0.414634146341463,
1951748,19.53125,2688,-1.6480686695279,-15520,-9.51563458001226,-3984,2.4426732066217,0,2.86585365853659,-47,0,-4,0.24390243902439,-76,0.330434782608696,43,0.18695652173913,85,-0.414634146341463,
1952388,39.0625,2736,-1.67749846719804,-15552,-9.53525444512569,-3984,2.4426732066217,2,2.98780487804878,-49,-0.121951219512195,-6,0.365853658536585,-76,0.330434782608696,47,0.204347826086957,84,-0.409756097560976,
1953028,58.59375,2688,-1.6480686695279,-15424,-9.45677498467198,-3920,2.40343347639485,3,2.98780487804878,-49,-0.182926829268293,-12,0.731707317073171,-76,0.330434782608696,46,0.2,84,-0.409756097560976,
1953668,78.125,2640,-1.61863887185776,-15488,-9.49601471489883,-3888,2.38381361128142,3,3.04878048780488,-50,-0.182926829268293,-13,0.792682926829268,-78,0.339130434782609,44,0.191304347826087,85,-0.414634146341463,
1954308,97.65625,2592,-1.58920907418761,-15472,-9.48620478234212,-3952,2.42305334150828,-2,3.04878048780488,-50,0.121951219512195,-12,0.731707317073171,-78,0.339130434782609,44,0.191304347826087,85,-0.414634146341463,
1954948,117.1875,2672,-1.63825873697118,-15488,-9.49601471489883,-3888,2.38381361128142,-6,3.04878048780488,-50,0.365853658536585,-6,0.365853658536585,-76,0.330434782608696,46,0.2,84,-0.409756097560976,
